Handle,Post,Date
@DarlineSelah,power sigona since monday guys came transformer blown yet see anyone kplc till date dms going unanswered calls jameni,25-Apr
@pinchez25414,hello long going stay darkness one week seems unbothered githurai area called toezi kindly consider us replace transformer suffering,25-Apr
@pinchez25414,kenyapowercare long gonna suffer neglected cries weeks almost darkness githurai toezi area near opposite railway station took away transformer never consider us long gonna cry consider us,25-Apr
@pinchez25414,kenyapowercare long going put us darkness neglected duties weeks githurai toezi area near police station took away transformer never bother consider us show concern putting transformer,25-Apr
@mwaskB,changing spoiled transformer kioru village githumu muranga county,25-Apr
@GiachukiP,kenyapowercare serving transformer got spoilt tuesday morningarea kibubuti number moja specific area along boma road kiambaa near senior chief koinange seek fast kind assistance since incurring significant losses mtr,25-Apr
@kewango,oloosirkon dispensary catholic church ack church neighborhood since transformer crashed heavy downpour living wet darkness people carried transformer away place insecure late,25-Apr
@OgachiNyaronge,four days power issue transformer entered water going rescue us,25-Apr
@War_Analyst254,kenyapowercare kenyapower hours since officers took away transformer herein mwiki inorder replace transformer functioning optimally darkness since,25-Apr
@KilianAndy,kenyapowercare kenyapower kwanihow long take change transformer surely ama mnaiship abroad another disappoint systems country along hunters first second link road,25-Apr
@sammiestezah,muranga kiharu maragi karindundu weve darkness last month transformer broke nothing done yet kindly assist,25-Apr
@kabiru_mwa95376,kenyapowercare power every time rain miiri coffee factory transformer power disappear making theft increase area,25-Apr
@janekiama385,kenyapowercare kindly restore power kahawawest proact hospital meter number seriously days long enough sort transformer,25-Apr
@luvanda_nixon,kenyapowercare kenyapowercare expect power kwazulu crescent clay city ward kasarani told transformer issue instead buying electric cars handle issues first,25-Apr
@luvanda_nixon,kenyapowercare expect power kwazulu crescent clay city ward kasarani told transformer issue instead buying electric cars handle issues first,25-Apr
@KenNyaga20,kenyapowercare residents ikuu market tharaka nithi county urgently need assistance faulty transformer left us without electricity causing businesses close escalating nighttime insecurity please prioritize repairs restore power,25-Apr
@KenNyaga20,kenyapowercare residents ikuu market tharaka nithi county urgently need yr assistance faulty transformer left us without electricity causing businesses close escalating nighttime insecurity prioritize repairs restore power safety,25-Apr
@Onetouc42118217,matugulu sub county thugs stealing transformers adorning kplc uniform,24-Apr
@Thuranira,kenyapowercare transformer faulty causing power flactuation extremely low voltage acc,24-Apr
@akothclyne,kariobangi south day hakuna stima ni dim seriously guys fix issue transformer,24-Apr
@Fazz19121618883,kenyapowercare malicious activity happening city park estate rogue kplc engineers decide disconnect wires main transformer affecting several houses left us dark gone kplc reference number,24-Apr
@lewilistech,kenyapowercare please darkness last days transformer carried engineers locationmowlem embakasi west nairobi,24-Apr
@cannavaro_mm,kenyapowercare th day without power trasamipipeline area adjacent transformers working well kindly,24-Apr
@olangDanielmark,kenyapowercare power days due transformer issue significant affected businesses please something urgently,24-Apr
@EllyMathenge,kenyapowercare power line cut transformer poll compound acc lines long waiting times,24-Apr
@Mollysandry,kenyapowercare mean guys decided darkness sunday hapa feroze hadi mka beba transformer mkaenda nayo,24-Apr
