Handle,Post,Date
@RhodahMahenia,lower kabete white house power due transformer kindly sort us,17-Apr
@MainaJo69553013,kindly assist us naivasha maiella transformer removed two years line information given removed kindly help,17-Apr
@LilianMurimi9,please repair transformer carried away south b kenya institute mass communication return suffering since last tuesday mindful food stored freezers jobs require power efficient meter number,17-Apr
@joseph_kanyaru,hello kenyapowercare sometime youre disappointing weve made million calls change transformer gathiga primary gathiga due overloading dont seem care make us feel though beg even ask maandamano office,17-Apr
@Pjmwita,never connected although line transformer place last two years kegonga migori county issue pull cables use cloth lines coz useless,17-Apr
@henrymorell2,kenyapowercare theres transformer burst mtwapa lamarina dangerous sure wev lost lives people staying close transformer everyone scared go closeby,16-Apr
@mngos72,take ages replace stolen transformers serious issue obviously suggest technical teams struggling use polite language,16-Apr
@KateWaithe13720,month without power simple transformer overload,16-Apr
@wilsonngugi123,still suffering light hpe next week tutasaidika kwa transformer,16-Apr
@josephchege08,kenyapowercare think problem transformer juja orion past river side estate please fix power since pm keeps breaking every week,16-Apr
@Henelico,kenyapowercare power hours nowmetre number transformer located near ntakira police post metres gikumene girls meru,16-Apr
@Thee_Ngich,keep booking issue theres one executing following team ground fixing following would fixed three days ago guys showing poles poking transformer,16-Apr
@CourtneyMayodi,place called musembe trans nzoia county told transformer tempered weeks ago culprits well known yet official word given entire area subjected complete blackout past half weeks,16-Apr
@wambuikibati,kenyapowercare day picked transformer communication yet expect feedback matter,16-Apr
@Jobmokaya,kenyapowercare hello power mutito police station mutito boys high school mutito parish two weeks due faulty transformer near police station many institutions offering essential services affected something urgently please,16-Apr
@kuziikonko,whyis transformerno changed every time faulty transformer,16-Apr
@makenafaith9,kenyapowercare kenyapower whole transformer stolen kingeroo area white house lower kabete kenyapowercare electricity since friday give us timelines today reference number ntvkenya citizentvkenya ktnnewske,16-Apr
@clicksbyrue,long take procure new transformer dont think livelihoods affected thats response weve getting whole time get disaster management team order please,16-Apr
@Gudboiratemo,kenyapowercare let report power outage kasphat following short circuit transformer reported immediately pm yesterday response till meter kindly urgently sort us,16-Apr
@92b7d422caa0454,kenyapowercare one ur transformers ongata rongai kajiado county rombo restoration lane faults kindly check reinstall power affected areasthank,16-Apr
@Onesmus89298072,two weeks without power due issue faulty transformer yet kenya power officials watching kware region embakasi area kindly address us way forward,16-Apr
@achira_dennis,kenyapowercare hours next pangani vision transformer hasnt replaced suffering darkness security becomes threat taxes bills pay timeso sad,16-Apr
@achira_dennis,wrong replacing transformer takes hrs yet bills taxes pay timewhich service offer best without us twitting daywithout helpso sad,16-Apr
@LAdego,power flat kibos kisumu since monday th march due faulty transformer lodged complaint number todate given promises team please help restore power thank,16-Apr
@achira_dennis,hrs seeing form transformer replaced yet weve paying taxes bills tmeits sad big parastatal like kplc act dont recieve bills thus ignoring requests,16-Apr
@ideasnvisions,powernow wake upwe dont havekujieni tu hii transformer yenu tujue arent connected whenyaani buy electricity expensive never enjoy powernkt,16-Apr
@Tipsy_timoh,kenyapowercare replace bat transformer,16-Apr
@Bhavesh80415249,kenyapowercare ac transformer live wires fallen road jomo kenyatta rd nyali mombasa,16-Apr
@Bhavesh80415249,kenyapowercare ac power lines transformer fallen ground live wires jomo kenyatta rd nyali mombasa,16-Apr
@KleinKevo,kenyapowercare kenyapower moneyheist situation transformer area truck pulls carts away merch like shopping thu th april speculatingcould taken safe keeping due rains due service,16-Apr
@Timo26234786341,kenyapowercare month darknessstill signs transformer replacedand yet saying six valuable co kenyawhat going httponmy meter number,15-Apr
@Timo26234786341,blackout one month nowyour workers blew transformer serving us ut nothing done meter number cant afford replace transformer us whats going guyz,15-Apr
@SaifuddinRashe3,kenyapowercare saifeepark langata one wing served saperate transformer suffering outage almost daily almost time pm due unbalanced load complain holi month ramadan unable pray prepare meals chores anybody kplc help,15-Apr
@Nathanielwanje6,hi hellena estate ongata rongai blu phase power since pm transformer always leaking oil something every week fuse must blow twice blew monday today something,15-Apr
@Charles09647822,hi kenyapowercare kindly come rescue kayole near new light school power went hours ago vehicle reportedly hit post close transformer around ref thanks,15-Apr
@kweyanga,guys jokers transformer serving area blew reported immediately know transformers replacement keep giving empty promises instead true picture situation approximate time remedial,15-Apr
@asif_darwesh,kenyapowercare good afternoon visible broken connector transformer outside premises affecting power supply compound account number location c general mathenge drive opposite harmony centre kindly assist please,15-Apr
@Benard57438241,still dont power kingeero whitehouse places lower kabete wangige power restored us dont power yet due stolen transformer booked yesterday red till power hours latter,15-Apr
@Thee_Ngich,kenyapowercare team kikuyu hasnt fixed electricity issue thogoto transformer blown madness,15-Apr
@muhu_arsh,kenyapowercare hi transformer acc exploded kindly assist,15-Apr
@joseck_omari,hello bana nyamira places since started raining transformer ilispoil feb till replacement mbona lakni tumekua blackout months pls help fix nyamira countywest mugirango kebabo village,15-Apr
@Muigai_One,woke missing transformer white house kingeero disappointing state time age,15-Apr
@Muigai_One,hey please respond kingeero area everyone lower kabete wangige complains majority area transformer stolen kingeero area white house last night,15-Apr
@Muigai_One,lower kabete area lights kingeero wangige white house transformer missing yesterday,15-Apr
@Muigai_One,transformer stolen yesterday kingeero wangige please assist,15-Apr
@JudebarazaB,kenyapowercare day four still power far following ref numbers problemwe told transformer damaged kenya power replacement asked diverted far nothing,15-Apr
@kinusiakio,kenyapowercare kenyapower transformer exploded gwa kairu lights everywhere,15-Apr
@KithikaMike,gathiga environs power rd day suspect transformer overload since resumes dim,15-Apr
@Thee_Ngich,confirm team hasnt showed fix problematic transformerthey dead asleep,15-Apr
@Samirmush,transformer busted week ago weve power kindly help things rotting house,14-Apr
@AkongFredrick,transformer problem duration time take respond fix,14-Apr
@Millen77101174,kenyapowercare power luanda mulkhoro transformer since pmplease help issue happens every week last week thing also week account,14-Apr
@annekaale,kenyapowercare hi transformer stolen go start counting losses,14-Apr
@CollectionJimmy,kenyapowercare please work transformer apo githurai kwenda zimmer kutoka jana lightskindly work,14-Apr
@417ba9733f5c420,kenyapowercare power outage whitehouse wangige transformer missing account number,14-Apr
@SilasKiragu,geographical coordinates transformer given nearest land mark embu topmark academy school also electricity transmission lines vandalized something sort,14-Apr
@JudebarazaB,kenyapowercare acc day power since th april amthis rd day power transformer needs replacement informed transformers store,14-Apr
@Eddyjamach,kenyapowercare kenyapower day power kogeresiaya county earthing never done transformer recently installedthomas sambu manager ugunja power unresponsive pleas kogere community functional transformerpowerfor months,14-Apr
@VikiMabwa,kenyapowercare kenyapower surely almost full hours reporting fault transformer loss power lying entire day via emergency line youve dispatched someone bloody fix problem,13-Apr
@Manhuss,kenyapowercare reported morning mothers house mathare north power kplc guy called ask directions houseinstead repairing came completely disconnected fuses transformer,13-Apr
@UncleSa20432767,kenyapowercare lost power githurai transformer total kamiti road,13-Apr
@WathanuWarui,kenyapowercare transformer blown kileleshwa number isnt going please reach,13-Apr
@MallyMutuku13,staff comes around ask money pay transformer replaced yet weve already paid maintenance bills,13-Apr
@SilasKiragu,kenyapowercare carekplc close three weeks broken transformer rwika next embu topmark academy google maps location posing danger customers academy although different transformer also without power weeks,13-Apr
@JudebarazaB,kenyapowercare acc power since yesterday th april sat th april pm mon th march pm days nd day power ref transformer needs replacement,13-Apr
@JnJimmie,mean faulty transformer take whole month httpreplaceyou guys seriouswe really need backup lighting httpcompanyyou acting living old times,13-Apr
@HiukoRuth,kenyapowercare kenya power came area yesterday around took transformer claiming faulty till darkness emerald estate ruiru,13-Apr
@Eddyjamach,kogere power june last yr feb yr new transformer barely month old blown proper earthing done incompetence highest order,13-Apr
@Labanbett5,kenyapowercare power outage kwaree area pipeline weeks took transformer team responded till today,13-Apr
@raymonkipchumba,meter number two weeks since transformer went kaput,12-Apr
@JosephineKahon1,kenya power could find solution transformer ruai every changed acc,12-Apr
@OyamPeter,kenyapowercare hello local area power outage weeks transformer supplying power area malfunctioned weeks ago action taken far muhoroni subcounty chemelil tamu ward east songhor sub location mbugra,12-Apr
@polgekenya,kenyapowercare hello lost power covent drive lavington disconnected cable transformer certainly explaining issue could kindly assist electricity since yesterday,12-Apr
@PolgeAntonia,kenyapowercare disconnected cable transformer front house,12-Apr
@Lit_SyMC,kenyapowercare spent entire easter power extending present rumour tech guys came hung cable two weeks please something attached exact transformer location,12-Apr
@njiru_west,kenyapowercare third week residents kabiriakibiro road kwa chief nairobi county power includes schools businesses faulty transformer acc residents affected,12-Apr
@MChebon,kenyapowercare week power due fualty transformer eldoret marakwet farm raised issue respond work progress check n improve responds meter reference,12-Apr
@lamarh4578,hello kenya poweri kindly urging send agencies nyeri muthuainiwhere weve power best part last week due faulty transformer led business closure well affecting school large kindly take action,12-Apr
@VaggyQ,kenyapowercare weve power days help nothing long take fix transformer affecting watu wengi please job,12-Apr
@rosen_tangut,close weeks still power transformer replaced whole village darkness nobody seems care hurry kenyapowercare kindly advise next course action highest level unprofessionalism,12-Apr
@kare_karol,kplc monopoly draining weeks power around thika bat transformer thing taking months repair longer funny,11-Apr
@lizmarley06,u said faulty transformer u replace today u didnt,11-Apr
@njiru_west,thats youve saying past weeks welders closed shop barbershops salons loss compensate wks sort transformer issue,11-Apr
@njiru_west,kenyapowercare third week residents kabiriakibiro road kwa chief nairobi county power includes schools businesses faulty transformer acc residents affected,11-Apr
@ZeyMshanga,kenyapowercare kenyapowercare lights muthiga area kama kawaida acc number please checkini hii transformer,11-Apr
@waithakka,truth anything touching transformers one lucky sorted within weeks reported case days ago ref,11-Apr
@Ranekoh,huku kwetu weve without power since last wednesday last month faulty transformer technicians twice still waiting fix certain vip aliroot stima different transformer tu kwake sisi bado ni giza,11-Apr
@Kajamu_,kenyapowercare blackout imara daima moses tanui rd transformer blown,10-Apr
@S_Kisabuli,hello okay brought new transformer still dark,10-Apr
@JudithOchieng99,yet resolved technicians please check obwolo transformer kajulu,10-Apr
@Ruwayda301,still darkness transformer still site weeks tumeteseka sana please turudishie stima,10-Apr
@Ruwayda301,kenyapowercare hello residents bonyaikoma village kitutu masabanyamira county power past weeks due transformer outburst transformer still site nothing done long wait landmark kenani dok primary sch,10-Apr
@MedrinN,kenyapowercare power transformer oloosurutia area grace house baraka lane frustrating every week power thursday sunday come resolve problem transformer person first aid leaves,10-Apr
@MedrinN,kenyapowercare meter oloosurutia area grace house baraka lane frustrating every week power thursday sunday come resolve problem transformer person first aid leaves,10-Apr
@Geoffre23168984,took transformer first avenue eastleigh near heshima road primary school going two weeks power primary school feedback hey word us,9-Apr
@Abdllahi88,kenyapowercare good evening south b tsavo road wanted let guys know transformer area sparking looks like sort shot think send technicians blows sit dark,9-Apr
@josephchege08,kenyapowercare please check happening transformer around juja orion area dim lights since pm mtr waiting solution,9-Apr
@njiru_west,kenyapowercare past wks residents kabiria kibiro road kwa chief power includes schools businesses faulty transformer acc take anymore fix latest tomorrow,9-Apr
@NtorosNtoroskiy,transformer near splash liquor store lepic kabiria primary spoiled electricity since thursday please assist,9-Apr
@Yiantet,kenyapowercare lights ntulele narok account number week promises come restore nothing restored tree branch fell transformer na haijatengenezwa bado,9-Apr
@Tipsy_timoh,kenyapowercare hurry repair transformer bat weeks without electricity need wake early en read exams fanyeni kitu jameni,9-Apr
@Tipsy_timoh,hurry repair transformer bat weeks without electricity need wake early en read exams fanyeni kitu jameni,9-Apr
@BarasaJoseph,kenyapowercare transformer serving lwanyange dispensary nambale subcounty busia county along nambalebutula road homesteads around broke result power close month,9-Apr
@amoi_chris,cant believe weve without power supply full week bat thika kenya power youve giving us one excuse another unbelievable kenya power claiming replacement transformer week mtr,9-Apr
@bkoech858,kenyapowercare hello whats wrong transformer kwarepipeline days without power plans returning plan optionsi hard issues customers fair us using metersprepaid,9-Apr
@LizAnande,hello weeks hatuna stima hata watu wa area washachoka na kucomplain day mmesota plz come make transaformer juu hiyo transformer ndio inawasha kama manyumba kwa area yetu cz dnt understand areas wakicomplain transformer wanakuwa replaced na days,8-Apr
@brad_musina,kenyapowercare tired kenya power cant replace faulty transformer uthirucooperation another power blackout near uthiru school consecutive intervals monopoly usual manchester,8-Apr
@kdog7868,kenyapowercare power cut transformer bang acc whispers please assist,8-Apr
@yhciR_Ole_T,please make understand apply connections transformer needed one pay transformer obligation soo pay connections ask pay transformer,8-Apr
@Vdodhia40,kenyapowercare hi shot transformer mins ago th parklands power account please check resolve thanks,8-Apr
@tepeyian,kenyapowercare please look restoring power thindigua kasirini area explosion transformer prior outage please expedite soonest possible landmarks feruzi towers maybe tsavo apartments thanks,8-Apr
@Truthtalker254,kenyapowercare power thindigua account number seems like transformer issue kindly lets dark easter,8-Apr
@amoi_chris,forget supposed replace transformer bat thika weve suffering week youve saying youre working please us really depend power work home meter number,8-Apr
@BundiAmbrose,sooo shamefull days without light within kware word pipeline security increased business paralisedhadi transformer mlibeba,7-Apr
@EyriqueCohle,kenyapowercare kenyapower kuna laxity hapa wakuu school operated whole term without electricity transformer bursted somewhere last year tired waiting learners lagging behind know reach kindly help asap,7-Apr
@Millen77101174,kenyapowercare power area luanda vihiga mulkhoro transformer since yesterdayerror low voltage displayed meter number please help,7-Apr
@hokins8,kenyapowercare power restored past one week outage reason dont transformer far long insincerity end kindly suffering thing location bat makongeni around bat factory meter number,7-Apr
@lizmarley06,asked phone number since wednesday gave u havent called respondedbat makongeni thika transformer near thika slaughter house capricon resultant,7-Apr
@Henelico,kenyapowercare power hours nowmetre number transformer located near ntakira police post metres gikumene girls meru,7-Apr
@makena_odongo,kenyapowercare short story yall ngando racecourse transformer exploded kplc employees site got scared wakapanda gari left one week hours one come resolve issue whats happening updates,7-Apr
@CassH_flow,kenyapowercare kenyapower kwani long take fix transformer weeks line darkness giving stupid excuses kindly fix sweetwaters machakos transformer buisness operate,7-Apr
@jessicanakhungu,kenyapowercare meter kakamega north sub county malava next ack machemo church havent power months apparently transformer longer working efforts restore end mnasemaje tuendelee tu hivi long,7-Apr
@GatharahA,trees fallen cut powerfew damaged electric poles last weeknothing transformer issuethe wires vanadalised stolen,7-Apr
@peterba75670822,kenyapowercare kindly check transformer ngong racecourse near blue tank one week power area theres outbreak cholera please help,7-Apr
@Shiftambugus,kenyapowercare community outgrown small transformer initially put nowadays cant shower lights transformer unable meet power demands help,7-Apr
@caroltshique,kenyapowercare without power since wednesday pm houses kahawa sukari kiu river th rd avenue fixed transformer houses still left without power kindly check,7-Apr
@mojez_mnatty,electricity past one week consecutive day passes wonder taxes go electricity one highest taxed commodityplease fix nyama villa area enough transformers give one sakajajohnson kenyapower,6-Apr
@Marsabit10,kenyapowercare kenyapower energymink area roundakiamaikohuruma everyday must stay without power hrs thought come pass surprise transformers area blown evening wrong shall get solution,6-Apr
@CassH_flow,fix sweetwaters machakos transformer im fed people saying youre looking na sasa second week tuko kwa giza buisness operate allaaah,6-Apr
@oti_hillary,kenyapowercare anybody know sue kenyapowercare damages dishonesty keep telling technicians ground working transformer right outside house nobody days pay damages,6-Apr
@oti_hillary,anybody know sue kenyapowercare damages dishonesty keep telling technicians ground working transformer right outside house nobody days,6-Apr
@Taherzakir1,someone kenya power calling us asking us pay oil replacement transformers surely kenyapowercare kenyapower,6-Apr
@lizmarley06,dont understand taking long time replace transformer,6-Apr
@raregem_14,kenyapowercare havent power almost weeks nowour transformer blew technicians come every day havent fixed yetkindly help mboanaivasha,6-Apr
@nikjaki,kenyapowercare kindly elaborate statement patient transformer failed week ago true transformer replacement nyama villa estate spine road kayole time govt give us alternative power provider energymink,6-Apr
@mwanikitrees,please dont let darkness part easter holiday still darkness please sort transformer problem us please,6-Apr
@WinnieK2,kenyapowercare still complaining power issue weeks since transformer stolen wish know criterion used reconnect reconnect customers alternative transformer leave rest lesser customers,6-Apr
@KIPLANGATAMOS20,reporting busted transformer today morning led total darkness areas around kokwet primary school kindly work,6-Apr
@LyndahAmran_,kenyapowercare transformer blew hatheru rd see dm details,6-Apr
@EjidioNjuguna,details already given close peoplewhat action taken transformer taken stage kariobangi south near friends inn,6-Apr
@EjidioNjuguna,details shared httppeopleyou already know transformer people carried stage kariobangi south near friends inn,6-Apr
@greg_nyakundi,kenyapowercare kenyapower kindly guys come transformer cant darkness weeks paid guys connect us power yet u come montly bills u cant maintain transformer energymink kengenkenya kenyapowercare,6-Apr
@billchristian63,kenyapowercare power angira mamboleo kisumu countyhow long take repair faulty transformerour businesses undergoing losses,6-Apr
@josccy,kenyapowercare theres power around sweet waters area machakos one week apparently technicians came removed transformer never come back seems problem,6-Apr
@pee,reported like one week ago issue fault transformer bt hasnt addressed yet ref acc,6-Apr
@OmondiOyim,kenyapowercare following areas around elbethel education center rongo supplied transformer posta power since yesterday around hrs account number kindly help restoration,6-Apr
@c_leting,kenyapowercare power two weeks kitale told transformer problem long take solve issue,6-Apr
@MissyKaranja,kenyapowercare surely guys cant serious weve calling hamshiki simu complaints yet addressed fix transformer issue meter,6-Apr
@Karen__Nash,parts ndovu lane along oloolua road past naimasia close opposite ukombozi academy power outage days due faulty transformer kindly restore asap,6-Apr
@GithinjiWa48518,dmed account number confirm still powerwe waiting transformer technicians advised ingekua karen runda ama muthaiga mungedeal day others ni miscellaneous,6-Apr
@E88ward,long take repair faulty transformer,6-Apr
@EjidioNjuguna,kenyapowercare really sad without power second wk running kariobangi southjust wondering long takes replace faulty transformer,6-Apr
@Ramabadi3,experiencing blackout last days without explanationthe transformer picked never returned till todate kariobangi south,6-Apr
@DianaMaurey,long transformer issue take coz wks dont lights kanunga kiambu,6-Apr
@raymonkipchumba,kenyapowercare long take fix transformer since monday eldama ravine solar dogs,6-Apr
@mwitidomenic,please third day without electricity know people paid cant locate faulty transformer act mobilise locals ntvnews citizentvkenya ipoake kenyapowercare spokespersongok pin pathway lane near racecourse,5-Apr
@dbf31dcda600405,kenyapowercare kenyapower kenyapowercare kenyapoweralert black cold easter holidayfor month transformer ramula pri school gem siaya county failed response kplc siayawe frustratedkindly helpmeter,5-Apr
@kuziikonko,one whole month transformer thats much transformers built manufactured fail crap,5-Apr
@flohreezy,reported also tried calling u aint picking transformer issue told wondering soon u fix,5-Apr
@iyanno_m,power mailisaba area nairobi due staff works took transformer repair since last week,5-Apr
@kizito_onyango,kindly come rescue us using transformer wakhungu library busia kplc busia please,5-Apr
@kizito_onyango,kenyapowercare black since nd march us using transformer wakhungu library kindly something,5-Apr
@EMudanyi,vihiga county darkness days happening emergency crew told transformer fault nothing happening,5-Apr
@dungmind,kenyapowercare team transformer golf course came power left parts power ref,5-Apr
@swanky65157808,ololua road near ukombozi academy transformer faulty long take replace one communication time frame also important,5-Apr
@Xavylolrockdude,kenyapowercare kenyapower dont power since yesterday pm nothing done moment area bengo near mazeras kilifi county specifically area around transformer close tsc rabai subcounty offices please help,5-Apr
@charleswangari1,understand theres faulty transformer understand takes week fixed dont new ones installed qualified technicians fix faulty one yall sued,5-Apr
@JustBarbs_,kenyapowercare transformer issue since yesterday account number,5-Apr
@christiancliff,kenyapowercare transformer blown next huruma police station,5-Apr
@QuanceQB,power gone reference kenyapower add another transformer something,5-Apr
@lexx53318063823,since last week monday u r still repairing one transformerwe darkness nairobi,5-Apr
@nikjaki,kenyapowercare week transformer failed yet fixed mean nothing done darkness since area within nyamavilla estate behind overcomers church spine road honmejjadonk,5-Apr
@Ramabadi3,dark last one week transformer pick kenya power upto havent brought back communicated,5-Apr
@Xavylolrockdude,kenyapowercare hi electricity since yesterday pm nothing done moment area bengo near mazeras kilifi county specifically area around transformer close tsc rabai subcounty offices please help,5-Apr
@drierqueenxy,hello kindly check power acacia area kitengela power outages experienced everyday moreover nearby transformer faulty since december last year action taken kindly check thanks advance,5-Apr
@WatchDog_KE,kenyapower kenyapowercare corrupt institution staff demanding bribes along ololua road fix transformer weeks shame even though increased electricity cost give us power eacckenya ona hawa,5-Apr
@amdenismutua,kindly update progress ref pangani ndimu lane blown transformer,5-Apr
@Mueirces,kenyapowercare nikama dont care anymore many power interruptions last week friend ameambiwa transformer take month fix whole month ni candle lit dinner yaaani satafrikan hange tweet stima jinxed since,5-Apr
@FellohFelloh,kenyapowercare kindly give roughly exact timeline transformer replaced actually things getting destroyed plus losing lot,5-Apr
@achiengelisha,metre number alum beach dispensary elect poles fell roofs private residents transformer aora kapunda failed months ago atthok mit zone rachuonyo north sub county h bay county,4-Apr
@suheil254,kenyapowercare kenyapower powercare whats happening blackout since sundayand problemissue transformer househas longest time ref nos meter fahari estate near lakeview est,4-Apr
@Dirara75,literally power line ground near transformer heading mararo small kids pass going school every day guys yet attended issue second day kid electrocuted happiness,4-Apr
@njery4r,kenyapowercare since last week transformer hamjafix real tunaenda hasara tu ref,4-Apr
@Himest4,kenyapowercare oya watu wa gachie karibu na power station hawana stima days eti transformer ilichapa whats plan,4-Apr
@linet_ngumbao,power shortage third day zimmerman carwash near administration police camp ata zimetengezwa days transformer ina lipuka tena please help us fix issue going months guys mins,4-Apr
@linet_ngumbao,power shortage third day zimmerman carwash near administration police camp ata zimetengezwa days transformer ina lipuka please help us fix issue going months na guys minutes away,4-Apr
@muirurijoy1,darkness two weekswhen transformer siloam area brought,4-Apr
@biggiek_,kenyapowercare news machakos sweetwaters transformer,4-Apr
@amoi_chris,weve power bat thika since sunday night yesterday saw technicians checking affected transformer didnt address issue really inconveniencing us please fix problem meter number,4-Apr
@WiladS,removed working transformers weve communicated using proper channels get assistance pleas landed deaf uncaring ears cant aid customers remove entire system leave decorations,4-Apr
@BeatriceLenjo,kenyapowercare good morningthe transformer ololua area ngong blew power past weeks kindly attend usac,4-Apr
@BeatriceLenjo,kenyapowercare kenyapower good morning experiencing power outages ololua area ngong past weeks transformer blewkindly attend us ac,4-Apr
@SAADA90532359,havent power nairobi west days issues fault transformer reported reference number ac opposite nairobi west hospital issue addressed,4-Apr
@MUCHIRISheba,kenyapowercare experiencing power outages every day power since metre ruiru rainbow resort near booster area transformer issue needs rectified please please help thanks,4-Apr
@IGChero_Ke,kenyapowercare barber shop hasnt operational hours huku makongeni thika going loss wateja wanatoroka hawezi pata services due transformer faultsusiku napigana na masufuria jikoni juu ya giza team nowhere seen,4-Apr
@ZeyMshanga,tired reference numbers permanent action taken need transformer replaced solution,4-Apr
@AssignmentProff,whole area served transformer near kariene day secondary school,4-Apr
@ZeyMshanga,kenyapowercare weve complained power issues muthiga yrs prolonged power outage since saturday guys know transformer faulty taking action kwamatangi kimaniichungwah please hear cries ac,4-Apr
@mogend,okay officially day two stima exorbitant price add note also safety risk transformer faulty years blows frequently violently sending sparks onto road kplc take serious look,4-Apr
@CassH_flow,kindly fix transformer sweetwaters machakos week kwani tutakaa kwa giza mpaka lini forced close shop since tuesday last week,4-Apr
@Cavallisindust1,kenyapowercare live across sigona golf course wida hotel havent lights last week faulty transformer going something,3-Apr
@singlechromosom,power blackout weeks nowmigori nyabohanse route transformer near cdf office problemkindly respond,3-Apr
@shiku84,kenyapowercare ref much people every one day theres blackout lot explosion transformer fixed saturday tuhame ama,3-Apr
@lexx53318063823,ac kariobangi south kindly bring back transformer fix itwe darkness since monday,3-Apr
@rejectederror,asking last tym week lightsbecause told transformer issue week day long wait meter number loc nyamavilla landmark theres booster area,3-Apr
@johnwaw41349786,gathoge market second week total daarkness effort replace transformer,3-Apr
@akothclyne,kenyapowercare one week imeisha na stima bado hakuna planning replace transformer really care us working survive seriously especially working online welders kinyozi salons wote wamefunga kazi,3-Apr
@NgoiriMigwi,kenyapowercare weve power monday last week till date called earlier said transformer would fixed today still nothing think really really unfair nothing done expedite callreach outyour staff rude,3-Apr
@charleswangari1,honestly week later still singing song kwani raw materials za kutengeneza iyo transformer bado hazijakua mined ama help understand darkness week,3-Apr
@Ruwayda301,still darkness sadsome us online business food spoilt still action nyamira county wake afraid end like neighbours kiangende area power past months due transformer,3-Apr
@lucy_theuri,fixing bursted transformer kenyatta road juja promised youll fix yet power restored,3-Apr
@oti_hillary,kenyapowercare hello power outage issue resolved since yesterday night faulty transformer nearby account,3-Apr
@vipin_2308,hearing kplc doesnt new transformer replace faulty one shall without power weeks true,3-Apr
@WangariKairetu,kenyapowercare way different areas complaining transformer malfunctions weeks yet problem solved something guys telling ussigona golf club area faulty transformer yet nothing happened,3-Apr
@oti_hillary,kenyapowercare lumumba drive roysambu next power station yet reported outage hours ago nothing done yet faulty transformer affecting power supply surroundings pac university please check dm,3-Apr
@cesslevu,kamulu st georges area power weeks transformer struck lightning longer wait empty promises daily,3-Apr
@dashcam_cnm,kenyapowercare since thursday mar power sigona area advised transformer burnt replaced kplc kikuyu office idea power restored counting heavy losses ie food,3-Apr
@Cherono92459462,told wait transformer since friday upto tumeishi kwa giza,3-Apr
@DICKIERAY98,kenyapowercare progress transformer suppose replace kabiangakapcheluch total darkness past one week,3-Apr
@OkongaPhidelis,transformer number dont account number landmark mukhonje k primary school since kenya power yet responded said issue believed whoever contracted perform task blackmail school call,3-Apr
@kuziikonko,transformers really suffering lack water,3-Apr
@amoi_chris,havent addressed power outage bat thika since yesterday night transformer exploded weve without power long pleased address issue meter number,3-Apr
@WiladS,hello kenyapowercare since monday th february people came removed two working transformers siloam hospital githurai area darkness lives stand still tired darkness,3-Apr
@johnngethemwau1,poor service kenyans mandated serveyaani apa githurai mlibeba transformer rd week watu bila stimathe failed entity,3-Apr
@kuziikonko,guys please resolve issue dont water one week replacing transformer take long,3-Apr
@Kirui24,kenyapowercare week theres action youve taken apart taking transformer kenyapower serious,3-Apr
@kuziikonko,magenche kwa wamboi transformer taken two weeks affecting everyone need water supply,3-Apr
@christiancliff,kenyapowercare transformer blew morning huruma police station,3-Apr
@ITwinklea,kenyapowercare electricity ngong deliverance lane oloolua road hope new transformer installed days ago hasnt exploded loud bang kindly send team ground dont wait till nightfall give us,3-Apr
@rupa_safari,hello areas like kamathatha gilgil nakuru county get transformer residents need electricity kindly advise thank,3-Apr
@lucy_theuri,apparently transformer area busted night,3-Apr
@ellah_adinda,kenyapowercare good evening kindly note transformer serving area faulty plans underway replacement inconvenience regretted answered mo since thursday noon much long take replace faulty transformer clintonmomo,3-Apr
@FellohFelloh,kenyapowercare area transformer spilt oil asking long would take get power back considering schools depending transformer,3-Apr
@FellohFelloh,kenyapowercare good morning issues area transformer blew friday spill oil wondering long would take replaced considering schools nearby,3-Apr
@sharonndaka,transformer issues kitengela near ncba bank areano lights days todaysurely,2-Apr
@JusticeDakar1,hello people brought faulty transformer lasted two weeks third week without electricity kindly address siaya county ramula gem east,2-Apr
@irene_nimu,power since weeks agowhen say stories transformeryou people come look transformer gowe paying power yet aint using nkt kariobangi north,2-Apr
@Joemoments2,blackout mama lucy hospital spain road transformer,2-Apr
@amoi_chris,transformer exploded bat thika moments ago power restored unstable surging sagging please stabilize,2-Apr
@nikjaki,kenyapowercare request kindly address power issue within part nyamavilla estate adjacent masimba spine road black every day transformer failed power kindly address issue,2-Apr
@PETEROGONYA,acc phone awelo school siaya county plus households punished kplc siaya branch month u refuses repare transformer kenyan,2-Apr
@Kakazablone,kenyapowercare ile transformer yetu mlingoa days ago mnarudisha lini reference number,2-Apr
@chegewamugo,kenyapowercare need power blackout handshake week power transformer iliuzwa ama rundisheni tafafhali ksouth civil stage,2-Apr
@macharia04,kenyapowercare delay restoring power kitengela transformer breakdown disappointing whole one week without power houses kenya dream location nasking mnaiita naivas restore power line dont frustrate us anymore,2-Apr
@macharia04,kenyapowercare delay restoring power kitengela transformer breakdown disappointing whole one week without power houses kenya dream location nasking mnaiita naivas restore power line dont frustrate us anymore,2-Apr
@CassH_flow,fix sweetwaters machakos transformer sunce tuesday till date tumeshinda kwa giza,2-Apr
@Marc00s_7,kenyapowercare hello theres power kimende transformer near kimende catholic church kindly help,2-Apr
@onkwarea,kenyapowercare sections kitengela power last week sunday say storm penetrated transformer dont engineers correct damage azimio todd boehly maandamanomonday duale chelsea,2-Apr
